,track_uri,artist_uri,genres
621,4t8tx6o7oM6Ax66ZUU361y,1R6Hx1tJ2VOUyodEpC12xM,folk rock
621,4t8tx6o7oM6Ax66ZUU361y,1R6Hx1tJ2VOUyodEpC12xM,heartland rock
621,4t8tx6o7oM6Ax66ZUU361y,1R6Hx1tJ2VOUyodEpC12xM,mellow gold
621,4t8tx6o7oM6Ax66ZUU361y,1R6Hx1tJ2VOUyodEpC12xM,singer-songwriter
621,4t8tx6o7oM6Ax66ZUU361y,1R6Hx1tJ2VOUyodEpC12xM,soft rock
622,4skknrc3sJqaPTtUr2cwFq,60df5JBRRPcnSpsIMxxwQm,classic soul
622,4skknrc3sJqaPTtUr2cwFq,60df5JBRRPcnSpsIMxxwQm,memphis soul
622,4skknrc3sJqaPTtUr2cwFq,60df5JBRRPcnSpsIMxxwQm,soul
622,4skknrc3sJqaPTtUr2cwFq,60df5JBRRPcnSpsIMxxwQm,soul blues
622,4skknrc3sJqaPTtUr2cwFq,60df5JBRRPcnSpsIMxxwQm,southern soul
622,4skknrc3sJqaPTtUr2cwFq,60df5JBRRPcnSpsIMxxwQm,vocal jazz
623,6Nl7KyvjkFncGsjB49SxLl,06HL4z0CvFAxyc27GXpf02,pop
624,6ORqU0bHbVCRjXm9AjyHyZ,7oPftvlwr6VrsViSDV7fJY,modern rock
624,6ORqU0bHbVCRjXm9AjyHyZ,7oPftvlwr6VrsViSDV7fJY,permanent wave
624,6ORqU0bHbVCRjXm9AjyHyZ,7oPftvlwr6VrsViSDV7fJY,punk
624,6ORqU0bHbVCRjXm9AjyHyZ,7oPftvlwr6VrsViSDV7fJY,rock
625,1z66rtsjBpgHqAuw74tr9E,2qNk1jkjPrStQcPrQ6Rvy0,
626,5hslUAKq9I9CG2bAulFkHN,4sj6D0zlMOl25nprDJBiU9,adult standards
626,5hslUAKq9I9CG2bAulFkHN,4sj6D0zlMOl25nprDJBiU9,easy listening
627,7tqhbajSfrz2F7E1Z75ASX,3koiLjNrgRTNbOwViDipeA,classic soul
627,7tqhbajSfrz2F7E1Z75ASX,3koiLjNrgRTNbOwViDipeA,motown
627,7tqhbajSfrz2F7E1Z75ASX,3koiLjNrgRTNbOwViDipeA,neo soul
627,7tqhbajSfrz2F7E1Z75ASX,3koiLjNrgRTNbOwViDipeA,northern soul
627,7tqhbajSfrz2F7E1Z75ASX,3koiLjNrgRTNbOwViDipeA,quiet storm
